Company,Type
RITES.NS,SmallCap
RCF.NS,SmallCap
SHYAMMETL.NS,SmallCap
ZFCVINDIA.NS,SmallCap
HINDCOPPER.NS,SmallCap
UCOBANK.NS,SmallCap
IRCON.NS,SmallCap
JUBLINGREA.NS,SmallCap
PNBHOUSING.NS,SmallCap
CHALET.NS,SmallCap
IDBI.NS,SmallCap
TRITURBINE.NS,SmallCap
ITI.NS,SmallCap
DBREALTY.NS,SmallCap
IGIL.NS,SmallCap
CAPLIPOINT.NS,SmallCap
FACT.NS,SmallCap
SIGNATURE.NS,SmallCap
NETWORK18.NS,SmallCap
ELGIEQUIP.NS,SmallCap
TRIDENT.NS,SmallCap
IOB.NS,SmallCap
WELCORP.NS,SmallCap
TTML.NS,SmallCap
NCC.NS,SmallCap
FINCABLES.NS,SmallCap
NBCC.NS,SmallCap
ZENSARTECH.NS,SmallCap
CUB.NS,SmallCap
ANGELONE.NS,SmallCap
BSOFT.NS,SmallCap
ROUTE.NS,SmallCap
DELHIVERY.NS,SmallCap
KPIL.NS,SmallCap
MAHSEAMLES.NS,SmallCap
WESTLIFE.NS,SmallCap
FIRSTCRY.NS,SmallCap
BATAINDIA.NS,SmallCap
NEWGEN.NS,SmallCap
INDGN.NS,SmallCap
BBTC.NS,SmallCap
CONCORDBIO.NS,SmallCap
CGCL.NS,SmallCap
GNFC.NS,SmallCap
CROMPTON.NS,SmallCap
CARBORUNIV.NS,SmallCap
MANAPPURAM.NS,SmallCap
JUSTDIAL.NS,SmallCap
TECHNOE.NS,SmallCap
PNCINFRA.NS,SmallCap
CENTRALBK.NS,SmallCap
SAGILITY.NS,SmallCap
SUNDRMFAST.NS,SmallCap
WELSPUNLIV.NS,SmallCap
RTNINDIA.NS,SmallCap
JYOTICNC.NS,SmallCap
MAPMYINDIA.NS,SmallCap
SKFINDIA.NS,SmallCap
TITAGARH.NS,SmallCap
TATACHEM.NS,SmallCap
KFINTECH.NS,SmallCap
LATENTVIEW.NS,SmallCap
DEVYANI.NS,SmallCap
ACE.NS,SmallCap
BASF.NS,SmallCap
J&KBANK.NS,SmallCap
JKTYRE.NS,SmallCap
HONASA.NS,SmallCap
BAYERCROP.NS,SmallCap
CAMPUS.NS,SmallCap
GMDCLTD.NS,SmallCap
TARIL.NS,SmallCap
IFCI.NS,SmallCap
EIHOTEL.NS,SmallCap
RHIM.NS,SmallCap
CHENNPETRO.NS,SmallCap
GODFRYPHLP.NS,SmallCap
INOXWIND.NS,SmallCap
HSCL.NS,SmallCap
CEATLTD.NS,SmallCap
NIVABUPA.NS,SmallCap
KAJARIACER.NS,SmallCap
OLECTRA.NS,SmallCap
PGEL.NS,SmallCap
KEC.NS,SmallCap
BRIGADE.NS,SmallCap
VTL.NS,SmallCap
PTCIL.NS,SmallCap
JMFINANCIL.NS,SmallCap
POONAWALLA.NS,SmallCap
AFCONS.NS,SmallCap
SAREGAMA.NS,SmallCap
CESC.NS,SmallCap
JINDALSAW.NS,SmallCap
GRAVITA.NS,SmallCap
KAYNES.NS,SmallCap
MCX.NS,SmallCap
ALOKINDS.NS,SmallCap
ERIS.NS,SmallCap
AAVAS.NS,SmallCap
RKFORGE.NS,SmallCap
MASTEK.NS,SmallCap
ALKYLAMINE.NS,SmallCap
LEMONTREE.NS,SmallCap
KIRLOSBROS.NS,SmallCap
PVRINOX.NS,SmallCap
CDSL.NS,SmallCap
AIIL.NS,SmallCap
SWANENERGY.NS,SmallCap
NATCOPHARM.NS,SmallCap
SAMMAANCAP.NS,SmallCap
ZENTEC.NS,SmallCap
SAPPHIRE.NS,SmallCap
MINDACORP.NS,SmallCap
CHAMBLFERT.NS,SmallCap
PCBL.NS,SmallCap
SWSOLAR.NS,SmallCap
CERA.NS,SmallCap
GRSE.NS,SmallCap
DATAPATTNS.NS,SmallCap
CAMS.NS,SmallCap
METROPOLIS.NS,SmallCap
AMBER.NS,SmallCap
BEML.NS,SmallCap
ZEEL.NS,SmallCap
